tissue	iqp_id	x	color	n	mean_ria	l95	u95
brain	12	1	#CCCF00	556	0.4286653434027023	0.4191590359860114	0.4381716508193932
brain	23	1	#CCCF00	563	0.4771322574006801	0.4676222396331001	0.4866422751682601
brain	24	1	#CCCF00	523	0.4150732807287698	0.4046613828112888	0.42548517864625085
colon	12	2	#EEBB77	401	0.7057665672278639	0.695705299343798	0.7158278351119298
colon	23	2	#EEBB77	361	0.7867675437069722	0.7786301253215265	0.7949049620924179
colon	24	2	#EEBB77	567	0.7156167952262221	0.7073505251689144	0.7238830652835299
