tx	day	rna_mean	rna_l95	rna_u95	prp_mean	prp_l95	prp_u95
ASO6	1	0.6745	0.6242220527770099	0.72477794722299	0.8402709022758564	0.7477763494524062	0.9327654550993066
ASO6	3	0.41583333333333333	0.39283447383613895	0.4388321928305277	0.7820906176430426	0.7409358818561261	0.823245353429959
ASO6	7	0.42166666666666663	0.39199983504114905	0.4513334982921842	0.6574293917205669	0.6236630689420898	0.691195714499044
ASO6	10	0.4365	0.40849353883704576	0.46450646116295424	0.5814638085581034	0.5499461962026656	0.6129814209135412
ASO6	14	0.43416666666666665	0.3830209526054919	0.4853123807278414	0.5840558295111357	0.5122033022172712	0.6559083568050001
ASO6	21	0.41633333333333333	0.3739157197057192	0.4587509469609475	0.5529516789588457	0.500597254234414	0.6053061036832773
ASO6	28	0.4495	0.41389998189241095	0.48510001810758907	0.4214184888808329	0.3857569391704515	0.45708003859121427
ASO6	35	0.5343333333333333	0.5020418072709198	0.5666248593957468	0.5152026749684406	0.4891755017144776	0.5412298482224036
ASO6	42	0.527	0.49146028052665264	0.5625397194733474	0.6087698790887054	0.5769909496709178	0.640548808506493
