x	tube_x	gt_x	spin_x	disp	color	tube_size	genotype	mean	l95	u95
-1.5	-1	0	-0.5	2 mL	#FBC74A	2	KO	6.112	4.701606956989993	7.522393043010007
-0.5	-1	0	0.5	2 mL + spin	#FBC74A	2	KO	5.734333333333334	3.9341367918680588	7.534529874798609
0.5	1	0	-0.5	7 mL	#FBC74A	7	KO	3.9010000000000002	2.698772832709044	5.103227167290957
1.5	1	0	0.5	7 mL + spin	#FBC74A	7	KO	5.12	5.12	5.12
3.5	-1	5	-0.5	2 mL	#00A7CD	2	WT	47.255	43.01256389725009	51.497436102749916
4.5	-1	5	0.5	2 mL + spin	#00A7CD	2	WT	36.36866666666667	28.347250374417147	44.390082958916196
5.5	1	5	-0.5	7 mL	#00A7CD	7	WT	14.837333333333333	6.119940452807745	23.55472621385892
6.5	1	5	0.5	7 mL + spin	#00A7CD	7	WT	12.391666666666666	4.448496569452315	20.334836763881015
