day	dose_color	pk_mean	pk_l95	pk_u95
1	#FF56AD	3.0043947871166665	1.8525900232072587	4.1561995510260745
3	#FF56AD	2.7760457813333335	2.1283871781228174	3.4237043845438495
7	#FF56AD	2.8766509323333334	2.5035759999476097	3.249725864719057
14	#FF56AD	2.6571305423333333	2.3519782110286793	2.9622828736379874
21	#FF56AD	1.9989502988333332	1.713939661787181	2.2839609358794855
28	#FF56AD	1.8622006018333335	1.4985079100049699	2.225893293661697
42	#FF56AD	1.4152910416666666	1.2223376521297167	1.6082444312036166
