panel	n_obs	thalf_single	aic_single	bic_single	runs_pvalue_single	thalf_fast	thalf_slow	prop_fast	prop_slow	thalf_effective	aic_mixture	bic_mixture	delta_aic	delta_bic	model_ratio
ASO6_WT	54	4.7907559931851615	-250.35317853048127	-246.37521043735273	NaN	0.06931501769584933	9.549435016301954	0.3722107976195355	0.6277892023804645	3.04	-272.74925830087216	-264.7933221146151	-22.396079770390884	-18.418111677262345	0.6345553821410217
ASON_ki817	42	2.0997884882104243	-185.09196496436164	-181.6166257277949	NaN	0.06931479837518327	96.58533790483895	0.7029476831956495	0.2970523168043505	NaN	-242.77959761381413	-235.82891914068065	-57.687632649452496	-54.21229341288574	NaN
ASO6_RML	21	5.6877064263731505	-75.97638076007637	-73.88733588462952	NaN	5.686745826877027	5.688852796073986	0.4831877280862561	0.5168122719137439	9.1	-71.97638067851855	-67.79829092762486	4.000000081557815	6.08904495700466	1.5999419305125333
