tissue	n_obs	thalf_single	aic_single	bic_single	thalf_fast	thalf_slow	prop_fast	prop_slow	thalf_effective	aic_mixture	bic_mixture	delta_aic	delta_bic	model_ratio
brain	39	10.129376648836695	-301.9418359975741	-298.61471270531484	6.7826810391647	99.95666314567228	0.702887071950849	0.297112928049151	11.14695355025007	-298.28987257902867	-291.63562599451006	3.6519634185454493	6.979086710804779	1.1004579982254128
colon	40	3.687240961782898	-229.30683167306552	-225.92907276483766	3.458589419495404	99.92732753009267	0.9604467595931367	0.039553240406863255	3.657699960411526	-225.3300868018702	-218.57456898541446	3.976744871195308	7.354503779423197	0.9919883181821977
